name,obj_id,shape_comp_class,input_ply,output_ply
scene000050_im000620_gt000003_obj000010,10,apple,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000050_im000620_gt000003_obj000010.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000050_im000620_gt000003_obj000010/apple_completed.ply
scene000050_im000620_gt000004_obj000015,15,hammer,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000050_im000620_gt000004_obj000015.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000050_im000620_gt000004_obj000015/hammer_completed.ply
scene000051_im000001_gt000000_obj000001,1,can,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000051_im000001_gt000000_obj000001.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000051_im000001_gt000000_obj000001/can_completed.ply
scene000051_im000001_gt000001_obj000003,3,box,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000051_im000001_gt000001_obj000003.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000051_im000001_gt000001_obj000003/box_completed.ply
scene000051_im000001_gt000002_obj000004,4,can,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000051_im000001_gt000002_obj000004.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000051_im000001_gt000002_obj000004/can_completed.ply
scene000051_im000001_gt000003_obj000012,12,bottle,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000051_im000001_gt000003_obj000012.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000051_im000001_gt000003_obj000012/bottle_completed.ply
scene000051_im000001_gt000004_obj000017,17,hammer,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000051_im000001_gt000004_obj000017.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000051_im000001_gt000004_obj000017/hammer_completed.ply
scene000052_im000001_gt000000_obj000005,5,bottle,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000052_im000001_gt000000_obj000005.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000052_im000001_gt000000_obj000005/bottle_completed.ply
scene000052_im000001_gt000001_obj000006,6,can,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000052_im000001_gt000001_obj000006.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000052_im000001_gt000001_obj000006/can_completed.ply
scene000052_im000001_gt000002_obj000011,11,bottle,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000052_im000001_gt000002_obj000011.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000052_im000001_gt000002_obj000011/bottle_completed.ply
scene000053_im000001_gt000000_obj000004,4,can,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000053_im000001_gt000000_obj000004.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000053_im000001_gt000000_obj000004/can_completed.ply
scene000053_im000001_gt000001_obj000009,9,can,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000053_im000001_gt000001_obj000009.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000053_im000001_gt000001_obj000009/can_completed.ply
scene000053_im000001_gt000002_obj000013,13,bowl,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000053_im000001_gt000002_obj000013.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000053_im000001_gt000002_obj000013/bowl_completed.ply
scene000054_im000001_gt000000_obj000002,2,box,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000054_im000001_gt000000_obj000002.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000054_im000001_gt000000_obj000002/box_completed.ply
scene000054_im000001_gt000001_obj000003,3,box,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000054_im000001_gt000001_obj000003.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000054_im000001_gt000001_obj000003/box_completed.ply
scene000054_im000001_gt000002_obj000012,12,bottle,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000054_im000001_gt000002_obj000012.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000054_im000001_gt000002_obj000012/bottle_completed.ply
scene000054_im000001_gt000003_obj000015,15,hammer,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000054_im000001_gt000003_obj000015.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000054_im000001_gt000003_obj000015/hammer_completed.ply
scene000054_im000001_gt000004_obj000019,19,hammer,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000054_im000001_gt000004_obj000019.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000054_im000001_gt000004_obj000019/hammer_completed.ply
scene000055_im000022_gt000000_obj000001,1,can,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000055_im000022_gt000000_obj000001.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000055_im000022_gt000000_obj000001/can_completed.ply
scene000055_im000022_gt000001_obj000003,3,box,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000055_im000022_gt000001_obj000003.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000055_im000022_gt000001_obj000003/box_completed.ply
scene000055_im000022_gt000002_obj000004,4,can,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000055_im000022_gt000002_obj000004.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000055_im000022_gt000002_obj000004/can_completed.ply
scene000055_im000022_gt000003_obj000012,12,bottle,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000055_im000022_gt000003_obj000012.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000055_im000022_gt000003_obj000012/bottle_completed.ply
scene000055_im000022_gt000004_obj000014,14,bowl,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000055_im000022_gt000004_obj000014.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000055_im000022_gt000004_obj000014/bowl_completed.ply
scene000055_im000022_gt000005_obj000016,16,box,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000055_im000022_gt000005_obj000016.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000055_im000022_gt000005_obj000016/box_completed.ply
scene000056_im000001_gt000000_obj000001,1,can,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000056_im000001_gt000000_obj000001.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000056_im000001_gt000000_obj000001/can_completed.ply
scene000056_im000001_gt000001_obj000010,10,apple,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000056_im000001_gt000001_obj000010.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000056_im000001_gt000001_obj000010/apple_completed.ply
scene000056_im000001_gt000002_obj000011,11,bottle,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000056_im000001_gt000002_obj000011.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000056_im000001_gt000002_obj000011/bottle_completed.ply
scene000056_im000001_gt000003_obj000015,15,hammer,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000056_im000001_gt000003_obj000015.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000056_im000001_gt000003_obj000015/hammer_completed.ply
scene000057_im000001_gt000000_obj000004,4,can,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000057_im000001_gt000000_obj000004.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000057_im000001_gt000000_obj000004/can_completed.ply
scene000057_im000001_gt000001_obj000012,12,bottle,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000057_im000001_gt000001_obj000012.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000057_im000001_gt000001_obj000012/bottle_completed.ply
scene000057_im000001_gt000002_obj000018,18,bottle,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000057_im000001_gt000002_obj000018.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000057_im000001_gt000002_obj000018/bottle_completed.ply
scene000057_im000001_gt000003_obj000020,20,hammer,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000057_im000001_gt000003_obj000020.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000057_im000001_gt000003_obj000020/hammer_completed.ply
scene000057_im000001_gt000004_obj000021,21,box,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000057_im000001_gt000004_obj000021.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000057_im000001_gt000004_obj000021/box_completed.ply
scene000058_im000030_gt000000_obj000003,3,box,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000058_im000030_gt000000_obj000003.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000058_im000030_gt000000_obj000003/box_completed.ply
scene000058_im000030_gt000001_obj000007,7,box,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000058_im000030_gt000001_obj000007.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000058_im000030_gt000001_obj000007/box_completed.ply
scene000058_im000030_gt000002_obj000008,8,box,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000058_im000030_gt000002_obj000008.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000058_im000030_gt000002_obj000008/box_completed.ply
scene000058_im000030_gt000003_obj000011,11,bottle,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000058_im000030_gt000003_obj000011.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000058_im000030_gt000003_obj000011/bottle_completed.ply
scene000059_im000001_gt000000_obj000002,2,box,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000059_im000001_gt000000_obj000002.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000059_im000001_gt000000_obj000002/box_completed.ply
scene000059_im000001_gt000001_obj000004,4,can,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000059_im000001_gt000001_obj000004.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000059_im000001_gt000001_obj000004/can_completed.ply
scene000059_im000001_gt000002_obj000006,6,can,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000059_im000001_gt000002_obj000006.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000059_im000001_gt000002_obj000006/can_completed.ply
scene000059_im000001_gt000003_obj000009,9,can,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000059_im000001_gt000003_obj000009.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000059_im000001_gt000003_obj000009/can_completed.ply
scene000059_im000001_gt000004_obj000015,15,hammer,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000059_im000001_gt000004_obj000015.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000059_im000001_gt000004_obj000015/hammer_completed.ply
scene000059_im000001_gt000005_obj000018,18,bottle,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000059_im000001_gt000005_obj000018.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000059_im000001_gt000005_obj000018/bottle_completed.ply
